restaurant_id,title,sub_title,description,price_range,category_name,address,neighborhood,street,city,postal_code,state,country_code,website,phone,phone_unformatted,latitude,longitude,plus_code,place_id,fid,cid,total_score,permanently_closed,temporarily_closed,claim_this_business,reviews_count,reviews_one_star,reviews_two_star,reviews_three_star,reviews_four_star,reviews_five_star,images_count,categories,image_categories,popular_times_live_text,popular_times_live_percent,scraped_at,reserve_table_url,google_food_url,menu,located_in,image_url,search_string,language,is_advertisement,opening_hours,top_review_tags
1,Villa Portuguese Restaurant.,,,$$,Portuguese restaurant,"176 Upper Buitenkant St, Vredehoek, Cape Town, 8001, South Africa",Vredehoek,176 Upper Buitenkant St,Cape Town,8001,,ZA,http://www.villaportugueserestaurant.com/,+27 21 465 4100,+27214654100,-33.9362514,18.4185743,"3C79+FC De Waterkant, Cape Town, South Africa",ChIJDwtrYnhnzB0R-owWHRbvqEg,0x1dcc6778626b0b0f:0x48a8ef161d168cfa,5235697445074537722,4.3,False,False,False,796,31,28,82,212,443,383,Portuguese restaurant,"All, Menu, Videos, Food & drink, Vibe, Scampi, Steak, By owner, Street View & 360°",A little busy,71,2025-06-27T19:34:42.226Z,,,,,https://lh3.googleusercontent.com/p/AF1QipNfRqJn84hMiYffUztA8K1nXdIp5pYZpv96H9Cy=w408-h283-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Villa%20Portuguese%20Restaurant.&query_place_id=ChIJDwtrYnhnzB0R-owWHRbvqEg,en,False,"{'day': 'Monday', 'hours': '2 to 10\u202fPM'} | {'day': 'Tuesday', 'hours': '12 to 11\u202fPM'} | {'day': 'Wednesday', 'hours': '12 to 11\u202fPM'} | {'day': 'Thursday', 'hours': '12 to 11\u202fPM'} | {'day': 'Friday', 'hours': '12 to 11\u202fPM'} | {'day': 'Saturday', 'hours': '11\u202fAM to 11\u202fPM'} | {'day': 'Sunday', 'hours': '11\u202fAM to 10\u202fPM'}","pub(18), peri peri(9), ribs(8), trinchado(8), espetada(8)"
2,Narona,,,,Restaurant,"136 Buitenkant St, Gardens, Cape Town, 8001, South Africa",Gardens,136 Buitenkant St,Cape Town,8001,,ZA,http://www.narona.co.za/,,,-33.9333877,18.4191995,"3C89+JM De Waterkant, Cape Town, South Africa",ChIJZYaUFHlnzB0Ret2B8pUrnAk,0x1dcc677914948665:0x99c2b95f281dd7a,692476365726932346,4.4,False,False,False,436,18,12,34,84,288,120,"Restaurant, Bar, Hamburger restaurant, Pasta shop, Pizza delivery, Pizza restaurant","All, Food & drink, Videos, Vibe, By owner, Street View & 360°",Now: Usually as busy as it gets,,2025-06-27T19:34:46.291Z,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npyNJR0Kg3R8HKHj97ibLtarg9koy0bi4ZQZgV9eBIV5lXrBSd_wtpd4i09b_pmNKbWehmrYapElQ4eQBurii7haCqRSZjRTsFIH2ZmLMZL500Zyu_cWjHscmhXU-T5NYOCWKOGNg=w408-h466-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Narona&query_place_id=ChIJZYaUFHlnzB0Ret2B8pUrnAk,en,False,"{'day': 'Monday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Tuesday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Wednesday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Thursday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Friday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Saturday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Sunday', 'hours': '9\u202fAM to 11\u202fPM'}","pizza(107), beer(11), delivery(9), cheesecake(9), ribs(8)"
3,Dizzys Restaurant & Pub,,,$$,Restaurant,"41 The Dr, Camps Bay, Cape Town, 8005, South Africa",Camps Bay,41 The Dr,Cape Town,8005,,ZA,http://www.dizzyscampsbay.co.za/,+27 21 438 2686,+27214382686,-33.9542243,18.3773106,"29WG+8W Hout Bay, Cape Town, South Africa",ChIJGy2NICxnzB0RZkFBbtFhQdo,0x1dcc672c208d2d1b:0xda4161d16e414166,15726958925880312166,4.3,False,False,False,500,19,11,64,119,287,227,Restaurant,"All, Menu, Videos, Food & drink, Vibe, By owner, Street View & 360°",Busier than usual,100,2025-06-27T19:34:48.103Z,,,http://dizzyscampsbay.co.za/wp-content/uploads/2024/05/Dizzys-Menu.pdf,,https://lh3.googleusercontent.com/p/AF1QipMwRplM5CoC5NuMcf8YX8rXGLuNaKuDtnYjS4O6=w408-h272-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Dizzys%20Restaurant%20%26%20Pub&query_place_id=ChIJGy2NICxnzB0RZkFBbtFhQdo,en,False,"{'day': 'Monday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Tuesday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Wednesday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Thursday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Friday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Saturday', 'hours': '11\u202fAM to 12\u202fAM'} | {'day': 'Sunday', 'hours': '11\u202fAM to 12\u202fAM'}","pizza(69), beer(22), karaoke(21), sports(7), pool table(7)"
4,Codfather Seafood & Sushi,,Relaxed contemporary restaurant with terrace for seafood and sushi and views of ocean and mountain.,,Seafood restaurant,"37 The Dr, Camps Bay, Cape Town, 8040, South Africa",Camps Bay,37 The Dr,Cape Town,8040,,ZA,http://www.codfather.co.za/,+27 21 438 0782,+27214380782,-33.954155,18.377465,"29WG+8X Hout Bay, Cape Town, South Africa",ChIJUVWciFJmzB0Rhech9dAcUjw,0x1dcc6652889c5551:0x3c521cd0f521e785,4346568274157365125,4.5,False,False,False,3202,95,90,199,551,2267,2955,"Seafood restaurant, Restaurant","All, Latest, Videos, Menu, Food & drink, Vibe, Oyster, Scallops, Juice, Custard, Vanilla ice cream, Sushi, By owner, Street View & 360°",A little busy,55,2025-06-27T19:34:51.779Z,,,https://codfather.co.za/,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEifFRbPc5YvLCw7mltdHJq1v84-Igo1PBH7Di1rx0U1g4jQiKpLekEfQpBg2cjE7SBrUipkDFnsihxEDEsTsfhFw-9gPqvM5uds8ouuojfjiw4AYKTyifXQuzeynlhm1L3AE=w408-h544-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Codfather%20Seafood%20%26%20Sushi&query_place_id=ChIJUVWciFJmzB0Rhech9dAcUjw,en,False,"{'day': 'Monday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Tuesday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Wednesday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Thursday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Friday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Saturday', 'hours': '12 to 10:30\u202fPM'} | {'day': 'Sunday', 'hours': '12 to 10:30\u202fPM'}","concept(75), crayfish(42), sushi train(37), fresh fish(31), wine list(30)"
5,Bacini's Pizzeria & Deli,,"Pizza, pasta and other Italian dishes in restaurant with Roman-influenced decor and covered terrace.",$$,Restaurant,"177 Kloof St, Gardens, Cape Town, 8001, South Africa",Gardens,177 Kloof St,Cape Town,8001,,ZA,https://www.bacinisonkloof.co.za/,+27 21 423 6668,+27214236668,-33.9367605,18.4051278,"3C74+73 De Waterkant, Cape Town, South Africa",ChIJXXlt3HRnzB0RQRGQw45gqV8,0x1dcc6774dc6d795d:0x5fa9608ec3901141,6893146870949876033,4.4,False,False,False,1289,58,33,95,296,807,523,Restaurant,"All, Menu, Videos, Food & drink, Vibe, Pizza, Pasta, By owner, Street View & 360°",A little busy,66,2025-06-27T19:34:52.169Z,,,https://www.bacinisonkloof.co.za/pages/mains,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npyCvCbQy4qa8WgR7qwYrxmfA7jd03sriLSFvoMJS9j72ui9tyJwplLxASzdCyYSxqAWGXSiFxzGBqgVNa4WBw3NP0RHCAqrzoaDXAHr7pXKZPO11QNpC1u8LeGtqr_lXSlb3u6Yw=w486-h240-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Bacini's%20Pizzeria%20%26%20Deli&query_place_id=ChIJXXlt3HRnzB0RQRGQw45gqV8,en,False,"{'day': 'Monday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Tuesday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Wednesday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Thursday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Friday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Saturday', 'hours': '9\u202fAM to 11\u202fPM'} | {'day': 'Sunday', 'hours': '9\u202fAM to 11\u202fPM'}","atmosphere(59), italian food(57), table(30), wine(16), parking(12)"
6,Planet Bar,,Stylish spot in the Belmond Mount Nelson Hotel for area-sourced European dishes & live piano music.,,Restaurant,"76 Orange St, Gardens, Cape Town, 8001, South Africa",Gardens,76 Orange St,Cape Town,8001,,ZA,https://www.belmond.com/hotels/africa/south-africa/cape-town/belmond-mount-nelson-hotel/dining?utm_source=local_search&utm_medium=link&utm_campaign=google_restaurant,+27 21 483 1927,+27214831927,-33.9313347,18.4126801,"3C97+F3 De Waterkant, Cape Town, South Africa",ChIJITzQ5HBnzB0RrNJjPndyZOY,0x1dcc6770e4d03c21:0xe66472773e63d2ac,16601519982867894956,4.4,False,False,False,61,4,0,4,15,38,93,Restaurant,"All, Food & drink, Videos, Vibe, By owner, Street View & 360°",Now: Usually a little busy,,2025-06-27T19:34:55.659Z,,,https://pdfs.belmond.com/MNH-Planet-Bar-Menu.pdf,,https://lh3.googleusercontent.com/p/AF1QipOm5kzGHcFY0VRAxoZVHv28fuXzKVb2PxbhLpjm=w408-h271-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Planet%20Bar&query_place_id=ChIJITzQ5HBnzB0RrNJjPndyZOY,en,False,"{'day': 'Monday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Tuesday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Wednesday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Thursday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Friday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Saturday', 'hours': '12\u202fPM to 1\u202fAM'} | {'day': 'Sunday', 'hours': '12\u202fPM to 1\u202fAM'}","cocktails(9), experience(8), hotel(4), glass(4), space(3)"
7,INFUSION RESTAURANT AND BAR,,,,Restaurant,"Shop 3, Central Parade, 89 Victoria Rd, Camps Bay, Cape Town, 8040, South Africa",Camps Bay,"Shop 3, Central Parade, 89 Victoria Rd",Cape Town,8040,,ZA,http://www.infusionsocialclub.com/,,,-33.9542857,18.3769748,"29WG+7Q Hout Bay, Cape Town, South Africa",ChIJC7LjKwBnzB0RGGaG4yEVXCo,0x1dcc67002be3b20b:0x2a5c1521e3866618,3052337882745693720,4.4,False,False,False,69,7,1,1,5,55,107,Restaurant,"All, Menu, Videos, Food & drink, Vibe, Filet mignon, Steak, By owner, Street View & 360°",Now: Usually not too busy,,2025-06-27T19:34:57.678Z,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEzgxJfO95_hgO0e542LmCdOERNyj-ZLERC6DA7CSPWPWq-scG9ZNSOszNyP950eCNb_kUUYu-yOkyzzFGaBcfPoPMXlAD1d-DTd2pZ2R9CbZ6GslGuY-44Imt1ULRT0F8-Q=w408-h306-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=INFUSION%20RESTAURANT%20AND%20BAR&query_place_id=ChIJC7LjKwBnzB0RGGaG4yEVXCo,en,False,"{'day': 'Monday', 'hours': '8:45\u202fAM to 10:30\u202fPM'} | {'day': 'Tuesday', 'hours': '8:45\u202fAM to 10:30\u202fPM'} | {'day': 'Wednesday', 'hours': '8:45\u202fAM to 10:30\u202fPM'} | {'day': 'Thursday', 'hours': '8\u202fAM to 10:30\u202fPM'} | {'day': 'Friday', 'hours': '8\u202fAM to 10:30\u202fPM'} | {'day': 'Saturday', 'hours': '8\u202fAM to 10:30\u202fPM'} | {'day': 'Sunday', 'hours': '8\u202fAM to 10:30\u202fPM'}","sushi(7), cocktails(5), sunset(3), beach(3), nachos(2)"
8,Vadivelu,,,,Indian restaurant,"151 Kloof St, Gardens, Cape Town, 8001, South Africa",Gardens,151 Kloof St,Cape Town,8001,,ZA,https://vadivelu.co.za/,+27 21 300 5777,+27213005777,-33.9346204,18.4071704,"3C84+5V De Waterkant, Cape Town, South Africa",ChIJpUfgnUBnzB0RRai1NitItg4,0x1dcc67409de047a5:0xeb6482b36b5a845,1060114112730998853,4.7,False,False,False,399,10,7,9,35,338,328,"Indian restaurant, Indian takeaway","All, Latest, Videos, Menu, Food & drink, Vibe, Vindaloo, Samosa, Curry, Chicken tikka masala, By owner, Street View & 360°",A little busy,79,2025-06-27T19:34:58.237Z,,,https://bit.ly/vadivelu-menu,,https://lh3.googleusercontent.com/p/AF1QipPhLBH1YtEyBijXyCDMo2ZW2mOiGvy2VpO5cQtD=w408-h271-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Vadivelu&query_place_id=ChIJpUfgnUBnzB0RRai1NitItg4,en,False,"{'day': 'Monday', 'hours': '12 to 10\u202fPM'} | {'day': 'Tuesday', 'hours': '12 to 10\u202fPM'} | {'day': 'Wednesday', 'hours': '12 to 10\u202fPM'} | {'day': 'Thursday', 'hours': '12 to 10\u202fPM'} | {'day': 'Friday', 'hours': '12 to 10\u202fPM'} | {'day': 'Saturday', 'hours': '12 to 10\u202fPM'} | {'day': 'Sunday', 'hours': 'Closed'}","starters(22), prawn curry(16), birthday(13), durban curry(12), pani puri(12)"
9,The Lawns at the Roundhouse,,Contemporary European food with a South African edge in former guardhouse at food of Table Mountain.,$$$,Restaurant,"Round House Rd, Camps Bay, Cape Town, 8005, South Africa",Camps Bay,Round House Rd,Cape Town,8005,,ZA,http://www.thelawnsct.com/,,,-33.9436,18.384939,"394M+HX Hout Bay, Cape Town, South Africa",ChIJl45bYqpnzB0RlzXvUN2moF8,0x1dcc67aa625b8e97:0x5fa0a6dd50ef3597,6890690899352696215,4.1,False,False,False,2476,199,138,225,525,1389,2675,"Restaurant, Cocktail bar, Event venue, Lunch restaurant, Wedding venue","All, Latest, Videos, Menu, Food & drink, Vibe, Pizza, Kirstenbosch National Botanical Garden, Watermelon, Beer, Fish and chips, By owner, Street View & 360°",,,2025-06-27T19:35:01.166Z,,,http://www.thelawnsct.com/menu,,https://lh3.googleusercontent.com/p/AF1QipPsN1vf83eW0s8L1H5ViLDXPCi2VoNio39zKNkJ=w427-h240-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=The%20Lawns%20at%20the%20Roundhouse&query_place_id=ChIJl45bYqpnzB0RlzXvUN2moF8,en,False,"{'day': 'Monday', 'hours': 'Closed'} | {'day': 'Tuesday', 'hours': 'Closed'} | {'day': 'Wednesday', 'hours': 'Closed'} | {'day': 'Thursday', 'hours': 'Closed'} | {'day': 'Friday', 'hours': '12 to 7\u202fPM'} | {'day': 'Saturday', 'hours': '9\u202fAM to 8\u202fPM'} | {'day': 'Sunday', 'hours': '9\u202fAM to 8\u202fPM'}","sunset(73), cocktails(45), mountain(35), beautiful(28), play area(15)"
10,la Belle Camps Bay by Kove Collection,,,$$$,Bistro,"Shop 120, The Promenade, Victoria Rd, Camps Bay, Cape Town, 8040, South Africa",Camps Bay,"Shop 120, The Promenade, Victoria Rd",Cape Town,8040,,ZA,https://www.labellecampsbay.co.za/,+27 21 437 1278,+27214371278,-33.9528948,18.3775797,"29WH+R2 Hout Bay, Cape Town, South Africa",ChIJLfJl91JmzB0RG4eD5nYAzIM,0x1dcc6652f765f22d:0x83cc0076e683871b,9496966224891053851,4.2,False,False,False,692,43,41,49,158,401,636,"Bistro, Bakery, Breakfast restaurant, Dessert restaurant, Lunch restaurant, Restaurant","All, Latest, Videos, Menu, Food & drink, Vibe, Cappuccino, Juice, Pancake, Eggs Benedict, Avocado toast, By owner, Street View & 360°",Not busy,8,2025-06-27T19:35:02.657Z,,,,The Promenade,https://lh3.googleusercontent.com/p/AF1QipNyRVP579hCNyPmFohtC3For6H-NXF-Q1PeXWWG=w408-h273-k-no,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=la%20Belle%20Camps%20Bay%20by%20Kove%20Collection&query_place_id=ChIJLfJl91JmzB0RG4eD5nYAzIM,en,False,"{'day': 'Monday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Tuesday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Wednesday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Thursday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Friday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Saturday', 'hours': '8\u202fAM to 11\u202fPM'} | {'day': 'Sunday', 'hours': '8\u202fAM to 11\u202fPM'}","beach(27), sunset(15), eggs benedict(12), french toast(10), smoothies(10)"
